a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,target0,target1,target2
14586897683942.652,-159468050815931.7,4266686149718.5923,-117958517511523.62,250894083368590.8,446124015281159.06,84491079652375.5,-113062886335169.06,49072254515451.99,79464473040056.72,14503195553968.28,68357178012201.2,94509527561590.88,1.0,0.0,0.0
2365713105164.4507,-141646076529748.94,-15224140314748.402,-251212680089087.88,2378633106956.957,313582441808287.75,59899464383193.336,-140688409695031.94,-21823035719102.582,-92598587795634.45,16260081907994.646,41188076342631.74,90053026871245.12,1.0,0.0,0.0
1891103995308.9968,6021710412907.704,20397025292725.742,-27103406663184.316,11582909042573.025,446124015281159.06,99246048813884.8,-85437362975306.28,85572799982747.42,84926792431665.97,12746309199941.914,29170973681091.402,130161533084356.9,1.0,0.0,0.0
16248029568436.76,-98364138977590.97,8971368399762.338,-81616473172187.89,122034220269965.84,1373915029591259.0,119739061538203.23,-168313933054894.8,41350985281985.664,374429720186955.94,-17120758818506.303,43800489964705.74,217806046661156.75,1.0,0.0,0.0
2840322215019.925,64579625924650.875,33838974578565.06,45580682015487.05,168055599948046.2,446124015281159.06,54161420820384.18,38877492144076.57,16081376881550.363,-100792066883048.27,14503195553968.28,16631388295136.277,-3533487626015.7266,1.0,0.0,0.0
14230940851551.041,-146738069182944.0,5610881078302.523,-130072532291302.2,112829944334349.78,861420945496156.2,111541856448475.86,-30186316255580.53,26610380381731.73,231043836157213.3,16260081907994.646,12451526499817.896,208893045280465.25,1.0,0.0,0.0
16485334123364.508,-118732109590371.17,5610881078302.523,-148243554460970.06,-34438470635507.316,181040868335416.44,40226172167847.64,-85437362975306.28,27312313948410.49,26206858971866.637,10989422845915.547,50592765382098.1,161357037916777.2,1.0,0.0,0.0
12569808967056.934,-47444212445640.4,16364440506973.947,-57388443612630.734,195668427754894.4,269401917317330.78,39406451658874.88,-71624601295374.84,-23928836419138.855,-1104737986179.6116,18016968262021.01,50592765382098.1,162842538146892.44,1.0,0.0,0.0
21706034331774.6,-177290025102114.4,-13207847921872.52,-166414576630637.88,-25234194699891.25,446124015281159.06,77933315580593.58,-99250124655237.72,27312313948410.49,19378959732355.105,21530740970073.746,12451526499817.896,88567526641129.86,1.0,0.0,0.0
10196763417779.602,-251123918573442.7,-6486873278952.86,-105844502731745.05,-16029918764275.18,605173903448604.9,91868564233130.12,-195939456414757.66,18187177581586.64,295226089008621.9,9232536491889.18,49025317208853.695,88567526641129.86,1.0,0.0,0.0
13044418076912.387,-44898216119042.81,-4470580886076.979,-45274428832852.21,48400012785037.3,578665588754030.8,105803812885666.67,-195939456414757.66,55389656615560.805,94485851366982.19,51397808988521.945,29170973681091.402,226719048041848.25,1.0,0.0,0.0
13281722631840.113,-218025966327674.84,-3126385957493.047,-81616473172187.89,-43642746571123.38,-84042278610326.17,32848687587093.01,-140688409695031.94,-1466962285418.5913,-7932637225691.143,37342718156311.01,10884078326573.49,158386037456546.7,1.0,0.0,0.0
